,time,x_r,x_w,u_r,u_w,K_ext,a
166,166.0,38.386777019781896,67.0392539512811,29.88458125381105,54.26094301109563,0.7667110449915571,0.1839545943356603
167,167.0,38.70315737549656,69.84028585030894,26.835538116607694,46.30282348816141,0.8177503749884691,0.30591262472017733
168,168.0,35.414895231917164,65.5647729002974,31.618629088392133,53.12117797975317,0.9373101357369045,0.35069718899905244
169,169.0,34.39198942973406,68.34195278177283,29.281344567173207,53.877371326253034,0.8626898719329816,0.35198183086601764
170,170.0,34.13185665365815,70.18579021789564,38.21583019693652,48.91227707061126,0.9130955140821875,0.37228689012704724
171,171.0,38.75468721000216,67.56375759205501,33.18897835968934,50.158060981090145,0.9248315652926199,0.46507496537082305
172,172.0,37.02402473577908,67.2016200979331,34.139715548256035,49.147868621965785,0.8578861526364057,0.3498625413877512
173,173.0,38.62003843442145,66.31987675837222,34.134803619164735,45.715425888249634,0.8185784983365086,0.39759924455243223
174,174.0,40.3416125829957,63.4886085448234,23.297034796226168,55.11453280611608,0.8266215977247636,0.2510163550108766
175,175.0,33.502939910220924,68.7635897348133,27.1146444664235,46.424893573706974,0.873612294840792,0.3210323716572717
176,176.0,32.06661067696499,65.14205533037119,33.2690440181342,55.07484257909571,0.8393474242730069,0.21859333368204908
177,177.0,36.36653487489175,69.51670018111959,28.68242765464209,54.29792839472104,0.7981035580094528,0.14746181895921925
178,178.0,36.13104402178577,71.03656817669469,26.582304081595986,52.056482297078574,0.8390896932985672,0.14414856195910422
179,179.0,33.60327369710664,70.17762043460016,27.749379287601975,51.98127411852078,0.8588128449429543,0.05466960158696302
180,180.0,32.85867698016602,69.71897244649215,26.584503511546636,47.71462120925568,0.6895705634141458,-0.11187530264399395
181,181.0,35.69526829779488,66.50068407829531,32.53891729296896,52.983028502416055,0.712391081041214,-0.09846493969841155
182,182.0,40.780565764674165,68.68685618439743,32.20326072515223,51.479562353262,0.79005081831138,-0.06743812390882861
183,183.0,40.76987887701381,68.66182536201099,28.658850724188742,48.21087022881682,0.6490398613477589,-0.17637042113629636
184,184.0,42.3864788745613,66.35043993780567,27.11152714178369,51.45751640781325,0.6090059752015465,-0.24930830968277812
185,185.0,43.358533915861464,67.54267100543699,31.678978654505606,55.00207987771485,0.5954288351799865,-0.3349447617379185
186,186.0,47.77577413781598,70.5994813754667,32.804292393135725,47.86554263644049,0.7318191431715889,-0.2859873616919816
187,187.0,46.24477417380914,67.0227819746064,27.13530598806465,48.64832437883904,0.7314080646149295,-0.33167957378991086
188,188.0,41.50079536320489,65.88396460549626,33.23295023126187,51.99993795116033,0.779049452034892,-0.1334811094465768
189,189.0,42.12720567177297,67.70392327313273,26.70867209534555,54.798326311999965,0.7196812442308664,-0.07604192921980764
190,190.0,39.5538423632419,70.53230861310935,28.796603115746997,48.047912601652456,0.7474114445387876,-0.08442122558897303
191,191.0,39.014065524070446,67.11935117312981,28.59721123637929,49.46784299507569,0.7550985985926824,-0.15312757835373234
192,192.0,38.40881218212909,66.50612122166042,25.521993910005577,44.851518094580236,0.619900475281962,-0.18337571286143353
193,193.0,39.685001787979616,62.96881532733786,20.875913338119656,48.56879838454838,0.7045652611564155,-0.21861146085048172
194,194.0,34.60016790773316,63.91305892429681,31.42378897932322,44.19200409863208,0.7690170697241865,-0.1287830246946727
195,195.0,37.95998761228501,61.27996394849391,36.23839175283298,49.71789438318747,0.6549016021763825,-0.11237345938876689
196,196.0,46.308367909228046,63.923703998981324,31.397682016049096,51.773823964935474,0.7861300427401581,-0.10168323030667953
197,197.0,42.841213762053236,66.6188879867534,32.633744722238745,48.238761274132216,0.6094092210904447,-0.09728630716217239
198,198.0,47.72784398711095,65.40504634126096,25.636681247241132,51.109986884755415,0.6782534878036116,-0.2581687479484003
199,199.0,42.83746202215056,66.85160769939625,30.51077147627772,48.41879587894546,0.735941139589096,-0.22814966564696748
200,200.0,42.11892492218526,65.6416317428366,33.260055799516394,45.87281288132844,0.6219337001515173,-0.19977391696148555
